,Date,Close,Change,Change_Percentage,PROC,rci,days
320,2001-04-12,3183.77,-141.69,-1.4169,0.17985502169,46.9590832054,-5515.0
321,2001-04-16,3251.62,67.85,0.6785,0.137018331215,52.3157741421,-5511.0
322,2001-04-17,3312.29,60.67,0.6067,0.0644966319744,52.1271868107,-5510.0
323,2001-04-18,3438.75,126.46,1.2646,0.0768530723242,53.7251453953,-5509.0
324,2001-04-19,3574.08,135.33,1.3533,0.0643426722445,53.941841959,-5508.0
325,2001-04-20,3583.04,8.96,0.0896,0.043436009974,50.4248066828,-5507.0
326,2001-04-23,3587.01,3.97,0.0397,0.0363949936736,50.2894469381,-5504.0
327,2001-04-24,3589.99,2.98,0.0298,0.0224403659732,50.2614622669,-5503.0
328,2001-04-25,3600.83,10.84,0.1084,0.0501810834408,50.4901419265,-5502.0
329,2001-04-26,3557.19,-43.64,-0.4364,0.042213588155,48.862242295,-5501.0
330,2001-04-27,3422.76,-134.43,-1.3443,0.0584604212055,46.2634865348,-5500.0
331,2001-04-30,3519.16,96.4,0.964,0.0322193866326,52.9192091252,-5497.0
332,2001-05-02,3538.42,19.26,0.1926,0.0423295316145,50.7242138477,-5495.0
